date,ticker,side,price,shares,value
2021-07-06,CBOE,BUY,110.95417785644531,1.6009823818428323e-17,1.7763568394002505e-15
2021-07-06,PANW,BUY,65.31666564941406,2.7196073494241293e-17,1.7763568394002505e-15
2021-07-06,LITE,SELL,83.72000122070312,0.008833342573181803,0.7395274510096694
2021-07-06,QRVO,BUY,194.3000030517578,0.06597883725557782,12.819688280110203
2021-07-06,HOLX,SELL,69.0199966430664,0.014310161553028746,0.987687302351782
2021-07-06,LH,SELL,229.2315673828125,0.0035336157458525177,0.8100162759503586
2021-07-06,AVGO,SELL,43.40229415893555,0.020437949410377732,0.8870538923146577
2021-07-06,CBOE,SELL,110.95417785644531,0.005886076271383766,0.6530847534917168
2021-07-06,KLAC,SELL,297.1249084472656,0.0025587191810302473,0.7602592024058747
2021-07-06,NTES,SELL,100.37763214111328,0.0029131488818963797,0.29241498683929024
2021-07-06,ANET,SELL,23.433124542236328,0.05178852764345999,1.2135670181282467
2021-07-06,MEDP,SELL,180.33999633789062,0.005167220515324811,0.9318565288107497
2021-07-06,IT,SELL,254.3800048828125,0.004353310480576481,1.1073951413054441
2021-07-06,PANW,SELL,65.31666564941406,0.023881694061703058,1.559872626169856
2021-07-06,AMAT,SELL,131.7224578857422,0.0050582085808461895,0.6662796667678119
2021-09-30,CBRE,SELL,97.36000061035156,0.03256500210048492,3.170528624379312
2021-09-30,QRVO,BUY,167.19000244140625,0.002946726625950661,0.4926632317868478
2021-09-30,BMY,BUY,50.9385871887207,0.0009808591082979662,0.04996357720788679
2021-09-30,NTES,BUY,78.41244506835938,0.019247605471667772,1.5092518067446026
2021-09-30,TROW,BUY,167.14793395996094,0.06894291135174012,11.523665193628098
2021-09-30,REGN,BUY,602.5967407226562,0.019123344709446145,11.523665193628098
2021-09-30,NVR,SELL,4794.080078125,6.831377112204384e-05,0.32750168919778133
2021-09-30,LITE,SELL,83.54000091552734,0.015183868688038305,1.268460404099967
2021-09-30,LH,SELL,231.5932159423828,0.006166404221968895,1.4280973845664633
2021-09-30,PANW,SELL,79.83333587646484,0.05192325817923312,4.145206910023118
2021-09-30,AVGO,SELL,44.79658126831055,0.03812460908085233,1.7078521490129717
2021-09-30,IT,SELL,303.8800048828125,0.012474055507496097,3.7906160485263882
2021-09-30,MEDP,SELL,189.27999877929688,0.010204638951452362,1.9315340482740684
2021-09-30,AMAT,SELL,124.19686889648438,0.004538009418035898,0.5636065607428158
2021-09-30,KLAC,SELL,320.353271484375,0.007174046017169287,2.298229111379632
2021-09-30,CBOE,SELL,117.529296875,0.01749108448078997,2.05571486060847
2021-09-30,ANET,SELL,21.477500915527344,0.010529591769847092,0.2261493168770201
2021-09-30,HOLX,SELL,73.80999755859375,0.02961268076959883,2.185711895307506
2021-10-01,AVGO,BUY,45.0201301574707,0.03165007112918448,1.424890321729091
2021-10-01,PANW,BUY,81.08499908447266,0.01605381723251027,1.3017237556003864
2021-10-01,HOLX,BUY,72.22000122070312,0.023963401509925524,1.7306368862990205
2021-10-01,LH,BUY,229.9803466796875,0.006794713193895119,1.562650495921046
2021-10-01,TROW,BUY,168.7115020751953,0.008147636909056195,1.374600061290172
2021-10-01,CBRE,BUY,100.44999694824219,0.011116583031032096,1.116660731542055
2021-10-01,QRVO,BUY,169.25999450683594,0.007915169989309526,1.339721628911203
2021-10-01,REGN,BUY,568.353515625,0.003760409565526428,2.137241996756824
2021-10-01,BMY,BUY,51.23128890991211,0.0276428741851424,1.4161800736793815
2021-10-01,IT,BUY,306.20001220703125,0.0045539457161602025,1.3944182338784117
2021-10-01,CBOE,SELL,117.13076782226562,0.0980492991963039,11.484589699298127
2021-10-01,AMAT,BUY,124.58280944824219,0.011611452086469734,1.446587322706053
2021-10-01,KLAC,BUY,320.8416442871094,0.004565583691925876,1.4648293788479094
2021-10-01,ANET,BUY,21.905000686645508,0.057202634459650875,1.2530237471165844
2021-10-01,LOGI,BUY,83.85688781738281,0.15509831728078083,13.006062192879284
2021-10-01,DBX,BUY,29.440000534057617,0.44178199582004907,13.006062192879284
2021-10-01,NVR,SELL,4785.330078125,0.002403728140923147,11.502632572395022
2021-10-01,LITE,SELL,85.37000274658203,0.1379418849334275,11.776099095635407
2021-10-01,NTES,SELL,76.94336700439453,0.14696219692654466,11.307766253891229
2021-10-01,MEDP,BUY,195.6300048828125,0.005601383089672223,1.0957986011830805
2021-10-04,CBRE,SELL,99.04000091552734,0.008675035843497854,0.85917555788226
2021-10-04,QRVO,SELL,163.99000549316406,0.003883097410290858,0.6367891656440889
2021-10-04,REGN,SELL,553.049072265625,0.0012503698179292622,0.6915158677947169
2021-10-04,BMY,SELL,50.73198699951172,0.018035592767298027,0.914981457799051
2021-10-04,DBX,SELL,27.84000015258789,0.012029009528443794,0.3348876271073564
2021-10-04,LOGI,SELL,82.7483901977539,0.01051153830730723,0.8698128734316963
2021-10-04,TROW,SELL,164.5052032470703,0.004361400685055625,0.7174731061369872
2021-10-04,ON,BUY,44.88999938964844,0.26652535902445,11.964323203933391
2021-10-04,HOLX,SELL,70.69999694824219,0.010862832373519296,0.7680022156570807
2021-10-04,PANW,SELL,78.25666809082031,0.007514678600444053,0.5880737090441404
2021-10-04,ANET,SELL,21.482500076293945,0.03681507577208536,0.790879868082591
2021-10-04,KLAC,SELL,315.14349365234375,0.0025726414087939055,0.8107512014819989
2021-10-04,AMAT,SELL,120.79117584228516,0.005347278854635021,0.645904100407952
2021-10-04,LH,SELL,226.32675170898438,0.0036898753066217037,0.8351174923588829
2021-10-04,IT,SELL,305.1300048828125,0.003265131762672081,0.9962896706871582
2021-10-04,AVGO,SELL,43.96703338623047,0.016774050978927525,0.7375052594128384
2021-10-04,MEDP,SELL,191.5,0.0040060784908855975,0.767164031004592
2021-10-08,ON,SELL,44.47999954223633,0.010192535707524956,0.45336398360493746
2021-10-08,LOGI,SELL,83.23158264160156,0.007599309770910592,0.6325025792166752
2021-10-08,DBX,SELL,28.510000228881836,0.029834228934087516,0.8505738737393482
2021-10-08,TROW,SELL,166.00929260253906,0.0040481497529562364,0.6720304768374081
2021-10-08,REGN,SELL,547.6721801757812,0.0008149381738352052,0.44631896637279667
2021-10-08,CBRE,SELL,97.0999984741211,0.0033808583771033794,0.32828134325795766
